Model,Dataset,Accuracy,Precision,Recall,F1-Score,Kappa
resnet18,MSID,80.12820512820512,0.7714599272544839,0.773381474680538,0.7536448648502977,0.7191311418283193
resnet34,MSID,82.6923076923077,0.8047185224391741,0.787041515576306,0.7951418901923121,0.7486873508353222
resnet50,MSID,51.282051282051285,0.47794375175119086,0.42960902834899267,0.4009449196898274,0.31117824773413905
resnet101,MSID,68.58974358974359,0.5663888888888888,0.5798745467289179,0.5580580141024092,0.5394070860448301
resnext50_32x4d,MSID,51.282051282051285,0.5461592670894997,0.3782467532467533,0.3520715887737164,0.2292790743028017
wide_resnet50_2,MSID,66.66666666666667,0.6872454875632842,0.6274915428015339,0.5958071734003992,0.5425735874591181
vgg11_bn,MSID,60.256410256410255,0.5460203366058906,0.4205026964560863,0.378713473266734,0.3716216216216216
vgg13_bn,MSID,63.46153846153846,0.7747051208285385,0.5049906883927847,0.5258439707121104,0.43528515178458016
vgg16_bn,MSID,71.7948717948718,0.8592903828197946,0.5451851894760013,0.5432015723913418,0.5624123422159888
vgg19_bn,MSID,67.3076923076923,0.6320324606475818,0.5437808456039945,0.5349676054787628,0.5142264012699964
densenet121,MSID,41.666666666666664,0.41598142693503515,0.38697475584183877,0.3224819185772532,0.18013283280392733
densenet169,MSID,85.25641025641026,0.8378044766293615,0.8182433645747651,0.817233595449719,0.7887672200635818
densenet201,MSID,88.46153846153847,0.9175679074446681,0.8191857484620643,0.8542740480240479,0.8289369479134938
efficientnet_b0,MSID,20.512820512820515,0.17442889317889318,0.25301975566806073,0.1500306449245962,0.00411861614497544
efficientnet_b1,MSID,32.69230769230769,0.5125946418171229,0.3387057300415909,0.3081373679869522,0.14379802414928655
efficientnet_b2,MSID,21.794871794871796,0.22575914423740512,0.1982651882016289,0.17162680456798105,-0.04605914037594805
mobilenetv2_100,MSID,66.02564102564102,0.6271794484484916,0.6449544267062108,0.6023340551003502,0.533540197461213
mobilenetv3_large_100,MSID,44.87179487179487,0.34423076923076923,0.3194887739379265,0.2979999867417086,0.14883897982489536
inception_v3,MSID,61.53846153846154,0.45529263429509736,0.49266041162227603,0.46617742987606,0.41569386353704973
xception,MSID,69.23076923076923,0.8419124734914208,0.5257390635680109,0.5237722510426203,0.5200615305730034
vit_base_patch16_224,MSID,56.41025641025641,0.5073051948051948,0.4968980617954748,0.4953276955602537,0.37081850533807836
vit_small_patch16_224,MSID,92.3076923076923,0.913964148877942,0.9163776399782197,0.9143597831240852,0.8893224547711954
vit_tiny_patch16_224,MSID,86.53846153846153,0.8725529100529101,0.8510262317967492,0.853187736381206,0.8062455642299503
swin_base_patch4_window7_224,MSID,88.46153846153847,0.8644839079049605,0.8739989660205985,0.8676122242932587,0.8346192355262383
swin_small_patch4_window7_224,MSID,91.02564102564102,0.8918024544832643,0.8996417275855277,0.8936121284836238,0.8712795426415985
swin_tiny_patch4_window7_224,MSID,91.66666666666667,0.8830862222769079,0.9094381031546509,0.891267425792797,0.8814866760168303
deit_base_distilled_patch16_224,MSID,91.66666666666667,0.887193867116599,0.9114593591065492,0.8972150466883558,0.8810347861793864
deit_small_distilled_patch16_224,MSID,89.1025641025641,0.8935233482364631,0.8381297282111289,0.8580884273772205,0.8406824462333293
maxvit_tiny_rw_224,MSID,74.35897435897436,0.7268686502177069,0.7074938888052179,0.7014880952380952,0.6295636687444346
convnext_tiny,MSID,56.41025641025641,0.28148148148148144,0.3819612590799032,0.32410032715376225,0.309240085954288
resnet18,MSLD,82.22222222222223,0.8571428571428572,0.8400000000000001,0.8214285714285714,0.6538461538461539
resnet34,MSLD,77.77777777777777,0.8098739495798319,0.7949999999999999,0.7767857142857142,0.5673076923076923
resnet50,MSLD,88.88888888888889,0.8869047619047619,0.89,0.8880039820806371,0.7761194029850746
resnet101,MSLD,73.33333333333333,0.7380952380952381,0.74,0.733201581027668,0.47058823529411764
resnext50_32x4d,MSLD,64.44444444444444,0.7339572192513368,0.675,0.6296296296296297,0.3271028037383178
wide_resnet50_2,MSLD,71.11111111111111,0.72,0.72,0.7111111111111111,0.4292682926829269
vgg11_bn,MSLD,62.22222222222222,0.7214285714285714,0.655,0.6025974025974026,0.2883720930232557
vgg13_bn,MSLD,73.33333333333333,0.7833333333333333,0.755,0.73,0.48571428571428577
vgg16_bn,MSLD,77.77777777777777,0.7827380952380952,0.7849999999999999,0.7776679841897234,0.5588235294117647
vgg19_bn,MSLD,73.33333333333333,0.7833333333333333,0.755,0.73,0.48571428571428577
densenet121,MSLD,88.88888888888889,0.8903162055335969,0.895,0.8886689757545769,0.7783251231527094
densenet169,MSLD,88.88888888888889,0.8903162055335969,0.895,0.8886689757545769,0.7783251231527094
densenet201,MSLD,88.88888888888889,0.8903162055335969,0.895,0.8886689757545769,0.7783251231527094
efficientnet_b0,MSLD,48.888888888888886,0.7325581395348837,0.54,0.3915343915343915,0.0717488789237668
efficientnet_b1,MSLD,77.77777777777777,0.8098739495798319,0.7949999999999999,0.7767857142857142,0.5673076923076923
efficientnet_b2,MSLD,66.66666666666667,0.7857142857142857,0.7,0.6493506493506493,0.37209302325581384
mobilenetv2_100,MSLD,82.22222222222223,0.8240740740740741,0.815,0.8178137651821862,0.6363636363636364
mobilenetv3_large_100,MSLD,77.77777777777777,0.7777777777777778,0.77,0.7722672064777327,0.5454545454545454
inception_v3,MSLD,73.33333333333333,0.8125,0.76,0.7267206477732794,0.49056603773584906
xception,MSLD,91.11111111111111,0.91,0.91,0.91,0.8200000000000001
vit_base_patch16_224,MSLD,77.77777777777777,0.775,0.775,0.775,0.55
vit_small_patch16_224,MSLD,91.11111111111111,0.9100790513833992,0.915,0.9107142857142857,0.8217821782178217
vit_tiny_patch16_224,MSLD,93.33333333333333,0.9315476190476191,0.935,0.9328023892483823,0.8656716417910448
swin_base_patch4_window7_224,MSLD,84.44444444444444,0.851890756302521,0.835,0.8393676695563488,0.6802030456852792
swin_small_patch4_window7_224,MSLD,88.88888888888889,0.8903162055335969,0.895,0.8886689757545769,0.7783251231527094
swin_tiny_patch4_window7_224,MSLD,91.11111111111111,0.9100790513833992,0.915,0.9107142857142857,0.8217821782178217
deit_base_distilled_patch16_224,MSLD,88.88888888888889,0.9,0.9,0.8888888888888888,0.7804878048780488
deit_small_distilled_patch16_224,MSLD,88.88888888888889,0.8869047619047619,0.89,0.8880039820806371,0.7761194029850746
maxvit_tiny_rw_224,MSLD,80.0,0.8240740740740741,0.815,0.7996041563582384,0.6086956521739131
convnext_tiny,MSLD,82.22222222222223,0.8390688259109311,0.835,0.8221343873517787,0.6504854368932038
